Coastal County,State,Region
Portsmouth city,Virginia,Atlantic
Suffolk city,Virginia,Atlantic
Virginia Beach city,Virginia,Atlantic
Clallam County,Washington,Pacific
Grays Harbor County,Washington,Pacific
Island County,Washington,Pacific
Jefferson County,Washington,Pacific
King County,Washington,Pacific
Kitsap County,Washington,Pacific
Mason County,Washington,Pacific
Pacific County,Washington,Pacific
Pierce County,Washington,Pacific
San Juan County,Washington,Pacific
Skagit County,Washington,Pacific
Snohomish County,Washington,Pacific
Wahkiakum County,Washington,Pacific
Whatcom County,Washington,Pacific
